,0
144,195676483283.07678
145,211862038826.9506
146,180504104672.68777
147,189771444109.19232
148,225199924353.08945
149,198345369668.1117
150,206895154369.66876
151,228781743404.31708
152,190562459052.40598
153,203926478188.3756
154,238170429841.57724
155,222320606237.66385
156,204963365015.43607
157,245853559962.76306
158,211443770935.60754
159,199308942194.972
160,210501175348.67938
161,230807778734.191
162,227836557168.50684
163,200780363943.24554
164,231871550054.68845
165,228469091050.52664
166,234679138540.83682
167,237152120336.3279
168,231696071215.3922
169,216627042213.5323
170,242559259385.52066
171,247078605875.87668
172,218560905805.93658
173,243800468745.44214
174,245536477164.74655
175,225963423653.47998
176,249671619942.30856
177,259909321630.23007
178,244599634587.60782
179,225020685735.1541
180,257797290011.29434
181,240829497250.4886
182,243136980991.72437
183,233481974648.9825
184,223561814273.60492
185,243603082867.47607
186,234660929225.85785
187,255576541068.28702
188,245630161666.19836
189,259283226653.90884
190,265664525984.48022
191,256938293980.8993
192,267517492549.099
193,266156699942.0703
194,277967546862.21826
195,248841342352.94226
196,240210418390.89624
197,266904402539.0205
198,272410163399.79916
199,259510227508.92004
200,273495428220.78076
201,263565799899.3451
202,241995501424.35562
203,270549729543.84152
204,274981524689.3397
205,279958819588.85974
206,271008225052.11588
207,262008338636.1252
208,276149921768.6547
209,281257184548.18384
210,279484440824.02704
211,269985888787.55945
212,260244467139.7072
213,280427220719.9489
214,295813103174.87445
215,282923787414.7965
216,306001436080.39856
217,290139444677.57336
218,323978159252.02985
219,292177471660.9309
220,268405083495.97644
221,304494325155.8933
222,289945422543.86414
223,305760980267.5738
224,286042682992.4639
225,302695360548.79974
226,301938092718.54236
227,301369474323.1506
228,303105452294.84814
229,311382086534.1443
230,299454887584.8498
231,293713901216.43835
232,302463530512.56836
233,283612947724.0699
234,296897889503.1623
235,320066567683.84656
236,294705698048.2895
237,309000258547.94226
238,314620708373.361
239,325545134418.7016
240,318915107945.7826
241,301539958464.14545
242,288756624662.566
243,312917887151.5106
244,299209886760.86633
245,316779640738.2507
246,294937559301.9439
247,298454591848.8885
248,307777395852.37396
249,308734900604.71936
250,297337342177.7581
251,313485014767.0643
252,312705969311.21173
253,312455109468.00024
254,326225317301.90784
255,317913294514.627
256,354395263089.37415
257,333584966659.83704
258,296118982834.36896
259,325152299635.447
260,330791923170.94653
261,310589979783.2363
262,321215011798.60004
263,324761564902.0663
264,303760158200.51575
265,312732524385.6001
266,330819715140.3741
267,322433830142.51263
268,337443060440.98627
269,321670275863.6626
270,315828004683.3324
271,312084829384.08136
272,305725837310.4339
273,303182862228.76215
274,323389157163.6761
275,337947604151.03503
276,327190517851.9153
277,301551526171.3168
278,298378783769.96954
279,323672433520.83466
280,357634212012.0642
281,335555805175.8721
282,351328607204.3804
283,324647700510.0529
284,351790709996.1265
285,335084447336.97864
286,341986411017.30084
287,322406257571.6041
